,Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
288,gaussian-noise5,wide_resnet,0.54646,0.38227215393463154,-0.0636195598321238,-1.991959711099562,-2.0260008948280728e-13,0.0003568605423784,7.769149040751454,331.18417248516084,-0.7366282226727152,0.060174904967136705,0.0727006372822331,0.37021718617495036,0.4663521256327628,0.4044417818867737
289,gaussian-noise,densenet121,0.38554,0.3271745799310692,-0.034074185335699614,-1.6854377521866728,1.211139001588979e-10,0.00037053472317119995,5.73123698182583,245.5286629582215,-0.5395836453903429,0.048464858568161684,0.0759965649617094,0.27526847762620754,0.3394444509077073,0.3482064202248836
290,gaussian-noise5,densenet121,0.67548,0.5649042486040294,0.06405415065707978,-3.449144637673228,1.802993999759639e-10,0.0005857573262586458,11.31088084658623,455.48291997125625,-0.8226283173838349,0.10686908733321349,0.1135810232398309,0.4263353171852803,0.5067502572035791,0.5469297984551403
291,gaussian-noise5,googlenet,0.65508,0.4916737054124848,0.15956380918049912,-3.1796915642987393,1.0109500042654318e-11,0.00046532154463272026,11.135525470905302,443.17736640001294,-0.7005035344081196,0.10097169758161528,0.0876409109907211,0.40645235514214195,0.4693755059909821,0.45579645755739884
292,gaussian-noise5,mobilenet,0.7131799999999999,0.3127718658716325,0.2063722857226789,-2.0206363337599953,3.592599958843201e-12,0.0001864505460813807,15.296934550888539,543.0219601987267,-0.5863807573463804,0.0760689503266057,0.033516441712233704,0.36983422104412556,0.4554567050480843,0.2691929814315826
293,gaussian-noise,googlenet,0.37621999999999994,0.3464588656080515,0.039110425233634116,-2.099617542959523,8.177000092660092e-12,0.0003466808816129,7.138103888587949,289.75068611629484,-0.5098654302568351,0.06544525795703748,0.0671099539811443,0.2787516504456409,0.3300315514087677,0.33452165829105884
294,shot-noise5,resnet18,0.67414,0.5181116389860958,0.11514323970707327,-3.102705369285217,1.516029999020646e-10,0.0005390616846016921,10.123644041929246,416.5459253182984,-0.7557814694695489,0.0969569351240247,0.1038360316386659,0.40547060488957576,0.47591547912836074,0.4990451690461085
295,shot-noise5,resnet34,0.6945,0.4477604026865587,0.04824632608788429,-2.336992875600006,1.785834999844249e-10,0.0005065609237002,7.581235691089628,328.4156342573548,-0.7236363334281367,0.06822580283641819,0.1024459064282317,0.36291927062336216,0.44392137109279634,0.4663581998492323
296,speckle-noise,googlenet,0.39353999999999995,0.3361043524376862,0.04217763736034702,-2.03178433937497,7.783499973018637e-12,0.00034168169426170003,6.580366437835693,271.65006113208767,-0.49709948979854013,0.06214999715518199,0.0663531726013226,0.27509010178190485,0.3252573854589462,0.32737081102137955
297,shot-noise5,vgg16,0.70592,0.5658605865830183,0.13752278351896718,-3.488174474100902,1.1154449998211635e-10,0.0005860386419604826,11.017972074961666,450.21602261096956,-0.819571524424139,0.1078796736955271,0.11272170780643449,0.4187834769635531,0.49149385255098355,0.5418775459244667
298,shot-noise5,resnet152,0.66986,0.5371826092110574,-0.020794502725442088,-3.0401279823037575,1.9775709997511826e-10,0.0005954834071686,9.508602831320761,398.66495825656904,-0.8466175238488849,0.08875900056079039,0.1196589724853156,0.41819952587757325,0.5145221564269066,0.5523624435601484
299,shot-noise5,vgg19,0.7094999999999999,0.5732905213147588,0.1389662836746983,-3.4880803773216478,1.1273189998682598e-10,0.0005955326939789452,11.171807549533845,461.00118291183475,-0.8491650242328886,0.1066775567334145,0.1151188420749297,0.4467365298591722,0.5222644319653511,0.5535001320019356
300,shot-noise5,alexnet,0.55836,0.4004587355580741,0.1911563724503859,-2.467178759417899,1.0445250003474071e-10,0.0004016552868159247,7.987589159817691,322.82119077789304,-0.5515416609997987,0.08183525813013322,0.0750527505512245,0.20959127048704262,0.25285673689126975,0.3674893968994566
301,shot-noise5,resnext,0.62492,0.3067375928998832,0.029930380084184083,-1.5416084870685278,3.23170006380491e-12,0.00017914898590062697,12.338543231587412,487.2114252729798,-0.8250825511852424,0.05706736893519761,0.034992661158231304,0.4457650033465187,0.540347469406128,0.3016797337928849
302,shot-noise5,wide_resnet,0.5383199999999999,0.37569217730138454,-0.0661335857296923,-1.954636418724271,-7.940000653489099e-13,0.0003512439186445,7.628976250343321,325.378669336052,-0.7263731619261806,0.058873815144095606,0.0716368447815266,0.36248796521452975,0.45983102032423007,0.3982319491524202
303,shot-noise,resnet50,0.39049999999999996,0.18569152842962178,-0.0037988583444701074,-0.7961601392872639,8.079999343213462e-13,0.00011034202894557076,7.402652265667918,301.9224995616722,-0.5402369305112026,0.030482186981448903,0.0221262041131267,0.29656235601119585,0.3626574316763877,0.1901355893442266
304,shot-noise5,densenet121,0.6686799999999999,0.5332052600320243,0.05170294080106769,-3.1551803451160967,1.8056720008097216e-10,0.0005636653832165,10.232976839828492,419.75260968761444,-0.7938217034370585,0.09651940739933398,0.1103675250745696,0.411276153434912,0.4929828284573556,0.5252364743460824
305,shot-noise5,googlenet,0.65464,0.4687335350609013,0.1507489405230282,-2.9295161102914644,9.867300119342781e-12,0.00045297431841915555,10.175500919528005,412.98926884071346,-0.6813308643853857,0.09221071071935819,0.08614364192393191,0.39584576657151926,0.45664329646825796,0.4417852043614732
306,shot-noise5,mobilenet,0.70462,0.3109134255873691,0.2036397286207453,-1.9788469970226004,3.3598000683671136e-12,0.00018581867861154578,15.327702006947996,546.1188864329814,-0.5926913373329523,0.0748168966807332,0.0334718079887287,0.404690473428131,0.4805534354424476,0.2686511541009933
307,shot-noise,resnet18,0.5251,0.4088859056830965,0.043502581330665674,-2.277427641726888,1.3227109988897534e-10,0.0004458714977743,7.417008131308556,312.0312022063446,-0.6286044085087078,0.0689295041979104,0.0884151295299227,0.3243602020769807,0.39358315196037297,0.41182096442478844
308,gaussian-blur5,resnet18,0.6261399999999999,0.58908199698966,0.13492403001479997,-3.786431530303454,1.508579999202203e-10,0.0005764947701503597,13.762483016729357,527.472431490078,-0.820369178284,0.1234647616431396,0.1085335797965519,0.44677811735901807,0.5142803827357293,0.5427950229454858
