Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
snow,alexnet,0.12608,0.27054681765085087,0.21125110355431953,3.592653762909042,0.0010000000337767414,0.00014426362354495495,19.24564701309681,460.1046449176407,1.2934337562925007,0.10218346631523222,0.019653070745283947,0.862673146951818,-0.5814943258905411,0.1690939537670563
snow,resnext,0.54022,0.2896652599908039,0.17880726658818608,4.871559927929416,0.001000000029844232,0.00012386120406311535,25.39501467929363,714.1860296839524,0.8994838172022254,0.08081840592661872,0.02151203214876025,1.1175449939015991,-0.2865104519701004,0.231897175106011
snow,wide_resnet,0.53122,0.49953540646184236,0.253486989647629,3.147511002356951,0.001000000033217948,0.00033169216660073974,26.55070115146637,761.1754760406112,0.773382688135014,0.13162757272295653,0.05942934191384828,1.153713204577178,-0.2415798745536804,0.4134138912379349
snow,densenet121,0.34316,0.4712210293428414,0.2891853394211071,2.424558887379318,0.0010000000424589962,0.00033889591656957694,23.66037783634186,637.3224119381714,1.0203072321091742,0.14337087788620032,0.055684468473429394,1.0166283089012709,-0.41015198447465895,0.35127571781452993
snow,googlenet,0.30492,0.3252765260731429,0.262215967017742,3.6873412026080246,0.0010000000310619362,0.00019742776348370398,21.158629235358237,538.8292741783523,1.1715549638570801,0.10681774754796178,0.031236905866869114,0.9337060422377396,-0.5039633786582947,0.2292081834402524
snow,mobilenet,0.30524,0.14282115301374346,0.1492441932431631,5.489914647656381,0.001000000028803479,4.991747030383408e-05,17.733808005671502,417.0224936075401,1.3168502546598762,0.05239031868143938,0.007368502016755116,0.8651795386751794,-0.5756378742051125,0.09307473878658144
fog,resnet50,0.6315,0.3106907788128033,0.18807594088311103,4.702390894055963,0.0010000000308966264,0.00014071623517134639,25.418239584512712,716.6719401841735,0.8851310080253216,0.08585887741511687,0.02455817318532509,1.1215834229533077,-0.2787606012439728,0.2504185028530989
fog,resnet18,0.33784,0.40825386843808,0.2785775365503771,2.744347029642899,0.0010000000410014763,0.0002773661472421827,22.197028682603836,577.324855586586,1.1158222192704983,0.13224901145560666,0.043671778681299504,0.9562519659692058,-0.47945504008054735,0.28981865293653036
fog,resnet34,0.41562,0.5091683517057821,0.2961686997275944,2.1717164287157584,0.0010000000458047725,0.0003817646758631781,24.200318754053114,659.7388635620117,0.9691361110698067,0.150880069325082,0.06380651696637818,1.035101054123636,-0.38612209153175353,0.38657943435361247
fog,resnet101,0.47108,0.5745613480636478,0.30476661943856775,1.850834070496087,0.001000000051902607,0.00045704377708821997,25.301608186359406,707.4470597483444,0.8585733819896073,0.16024485701609403,0.07925233313212403,1.0879908509879546,-0.32421992743730543,0.4553203285673666
