Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
imagenet,googlenet,0.69778,0.635155229,0.297652802,1.82912918,0.001,0.0005182,26.93198174,779.6531255,0.712890193,0.163057313,0.093817423,1.181155001,-0.206316951,0.534312258
imagenet,mobilenet,0.72156,0.348609397,0.244050349,4.325279622,0.001,0.000191286,25.12410796,706.4937952,0.921599928,0.095081556,0.033876392,1.124009566,-0.272742512,0.284552156
imagenetv2-matched-frequency-format-val,resnet50,0.6987,0.352270033,0.179735228,4.56625453,0.001,0.000164211,27.11946026,788.874484,0.735723815,0.09115988,0.029536034,1.20279673,-0.178874232,0.29634345
imagenetv2-matched-frequency-format-val,resnet18,0.5729,0.639272498,0.296609085,1.441257365,0.001,0.000531561,26.28874831,749.2566155,0.765070493,0.171758976,0.093870677,1.126451715,-0.269917832,0.520497631
imagenetv2-matched-frequency-format-val,resnet34,0.6101,0.690219997,0.285889775,1.207749684,0.001,0.000591143,27.12904489,786.3525908,0.675180371,0.178248222,0.106448457,1.174454221,-0.211242918,0.577236498
imagenetv2-matched-frequency-format-val,resnet101,0.6554,0.758690596,0.263522723,0.902891644,0.001,0.00067471,28.22240623,835.3345742,0.545389035,0.185790755,0.124485117,1.242062503,-0.12612994,0.656763627
imagenetv2-matched-frequency-format-val,resnet152,0.6698,0.765705868,0.261633081,0.86769116,0.001,0.000684297,28.29533025,838.5009891,0.530968487,0.186615983,0.126555316,1.243824525,-0.124692015,0.664530393
imagenetv2-matched-frequency-format-val,vgg16,0.5881,0.655315818,0.297754492,1.34919137,0.001,0.000552681,26.45908465,757.0950812,0.735768243,0.173877753,0.098310416,1.142520501,-0.25271079,0.538644105
imagenetv2-matched-frequency-format-val,vgg19,0.597,0.664410644,0.296070553,1.314395859,0.001,0.000563121,26.64683469,765.3235795,0.718209553,0.174780492,0.100608763,1.155128051,-0.238894934,0.549346023
imagenetv2-matched-frequency-format-val,alexnet,0.4351,0.502126168,0.305139355,2.114341177,0.001,0.000380854,23.68594243,640.0356075,0.985027607,0.150140659,0.063540255,1.025332561,-0.389365976,0.381484604
imagenetv2-matched-frequency-format-val,resnext,0.7254,0.383836231,0.171457058,4.447572383,0.001,0.000184125,28.23025579,837.106465,0.619348275,0.095121797,0.03373468,1.253436001,-0.110329287,0.331320068
imagenetv2-matched-frequency-format-val,wide_resnet,0.7118,0.645714967,0.218195749,2.411566565,0.001,0.000479159,28.98050833,870.4557903,0.479554535,0.151662094,0.090164583,1.292723876,-0.059519841,0.575978209
imagenetv2-matched-frequency-format-val,densenet121,0.6201,0.691874416,0.28344364,1.20979178,0.001,0.000591594,27.23395259,790.9698477,0.671656601,0.178163914,0.106615386,1.186272615,-0.201318594,0.57947669
imagenetv2-matched-frequency-format-val,googlenet,0.5785,0.550344682,0.308333112,2.283883772,0.001,0.000425316,25.39834158,713.700718,0.855134346,0.150457985,0.074808192,1.104619217,-0.294389439,0.444706101
imagenetv2-matched-frequency-format-val,mobilenet,0.597,0.281894057,0.226806359,4.700766737,0.001,0.000140737,23.1294961,624.1281494,1.050900184,0.082725595,0.024121536,1.032060228,-0.380381947,0.218929219
imagenetv2-threshold0.7-format-val,resnet50,0.7771,0.376335785,0.175253273,4.478126975,0.001,0.000179616,27.95756674,825.211543,0.653809252,0.094069159,0.032821445,1.240655567,-0.130018985,0.323323267
imagenetv2-threshold0.7-format-val,resnet18,0.6652,0.69542064,0.283038185,1.189959809,0.001,0.000596219,27.27737079,793.1046852,0.665839081,0.17865025,0.107539673,1.185598773,-0.196124271,0.583844197
imagenetv2-threshold0.7-format-val,resnet34,0.7009,0.742361373,0.267442085,0.978078955,0.001,0.000653361,28.00287208,825.174285,0.577989546,0.184144704,0.119790566,1.22403462,-0.15245339,0.63629822
imagenetv2-threshold0.7-format-val,resnet101,0.7414,0.802693502,0.240621509,0.719667328,0.001,0.000728836,28.92392605,867.4037377,0.458702773,0.189981139,0.136406319,1.286431872,-0.068167076,0.71027827
imagenetv2-threshold0.7-format-val,resnet152,0.751,0.81071718,0.237702804,0.679672618,0.001,0.000740317,29.00292129,870.7509562,0.441471604,0.190856684,0.138920756,1.289060387,-0.066452212,0.719347373
imagenetv2-threshold0.7-format-val,vgg16,0.6813,0.707644977,0.283441562,1.116267292,0.001,0.000613512,27.36609919,797.4397659,0.642602532,0.180205021,0.11120585,1.192302114,-0.18737881,0.597444457
imagenetv2-threshold0.7-format-val,vgg19,0.6868,0.716586735,0.281514922,1.080224213,0.001,0.000624321,27.52027314,804.2628253,0.625979185,0.18115275,0.113569518,1.203836056,-0.173556522,0.60878202
imagenetv2-threshold0.7-format-val,alexnet,0.512,0.548722966,0.306065504,1.880963711,0.001,0.000429867,24.60476514,678.9931694,0.912778857,0.157600312,0.073313837,1.068830235,-0.339529202,0.428958148
imagenetv2-threshold0.7-format-val,resnext,0.7975,0.403873831,0.163278567,4.383350159,0.001,0.000196469,28.9075071,867.2403664,0.541454215,0.097054614,0.036484837,1.293531844,-0.060727127,0.35541221
imagenetv2-threshold0.7-format-val,wide_resnet,0.7953,0.679934865,0.197706225,2.263904339,0.001,0.000514258,29.58857017,898.3227738,0.400296396,0.155211588,0.097826192,1.330767493,-0.008276609,0.617400561
imagenetsketch,resnet50,0.298598966,0.225638256,0.170654755,5.098424653,0.001,8.90E-05,22.39270479,588.0276363,1.114700767,0.071515004,0.014396731,0.985848805,-0.450974141,0.163965541
imagenetv2-threshold0.7-format-val,densenet121,0.705,0.741450296,0.265550732,0.984643506,0.001,0.000650716,28.03713087,826.6801935,0.582631896,0.184162314,0.119166662,1.227245411,-0.147112748,0.635754276
imagenetv2-threshold0.7-format-val,googlenet,0.6723,0.602123024,0.299821233,2.005174222,0.001,0.000479577,26.42104281,756.8494704,0.769755752,0.15869327,0.085722658,1.151499239,-0.23992983,0.497531427
imagenetv2-threshold0.7-format-val,mobilenet,0.689,0.321947295,0.236497686,4.47880755,0.001,0.000169693,24.4836224,679.1746019,0.973408634,0.090428618,0.029641657,1.093961003,-0.306841336,0.25766958
imagenetv2-top-images-format-val,resnet50,0.819790105,0.392717175,0.169617315,4.422520192,0.001,0.000189591,28.54433381,851.4828252,0.59318911,0.09573353,0.0350102,1.276251932,-0.083618901,0.342979567
imagenetv2-top-images-format-val,resnet18,0.728235882,0.736438306,0.27106601,1.01039654,0.001,0.000646046,27.93886747,822.9463297,0.588295008,0.183051063,0.118334006,1.224923777,-0.142865925,0.631902656
imagenetv2-top-images-format-val,resnet34,0.76121939,0.779861945,0.251981236,0.818805055,0.001,0.000699898,28.58554614,851.7881606,0.504919172,0.187782966,0.130017401,1.263894626,-0.101903528,0.681857194
imagenetv2-top-images-format-val,resnet101,0.786506747,0.831902471,0.22509635,0.5969733,0.001,0.000766979,29.33140128,886.2941324,0.398610306,0.1924999,0.144931598,1.31098174,-0.033611699,0.747261047
imagenetv2-top-images-format-val,resnet152,0.802098951,0.842470547,0.217468815,0.554257138,0.001,0.000780372,29.48341535,893.2724512,0.376778795,0.193337086,0.147944842,1.323337865,-0.019337556,0.760438246
imagenetv2-top-images-format-val,vgg16,0.736131934,0.743183966,0.271688982,0.961443159,0.001,0.000657008,27.94318836,822.9986039,0.572571459,0.183986382,0.120664716,1.226183043,-0.150422455,0.638174208
imagenetv2-top-images-format-val,vgg19,0.740629685,0.752902239,0.269160429,0.922611565,0.001,0.000669147,28.09083668,829.8602002,0.553757541,0.184880402,0.123361189,1.235593867,-0.133178331,0.651076318
imagenetv2-top-images-format-val,alexnet,0.580009995,0.591145505,0.308432327,1.682046143,0.001,0.000478585,25.35167205,711.2532126,0.840646728,0.163434852,0.083417495,1.103399054,-0.294601522,0.474790062
imagenetv2-top-images-format-val,resnext,0.837581209,0.41863501,0.157299989,4.330731539,0.001,0.000206084,29.34553524,887.4911589,0.486962654,0.098454392,0.038606493,1.321621083,-0.024005791,0.37347954
imagenetv2-top-images-format-val,wide_resnet,0.832783608,0.699531376,0.184062421,2.175466244,0.001,0.000535199,29.88385858,912.1430675,0.35372855,0.157184979,0.102424241,1.352432709,0.02066312,0.641303009
imagenetv2-top-images-format-val,densenet121,0.766716642,0.778347954,0.250601867,0.828825706,0.001,0.000696548,28.60335688,852.6520126,0.510535723,0.187715488,0.129255092,1.265181428,-0.096897972,0.680653516
imagenetv2-top-images-format-val,googlenet,0.729535232,0.649815072,0.291468997,1.752061066,0.001,0.000533516,27.20895646,791.4263116,0.688112043,0.165485461,0.096862169,1.191966915,-0.189052641,0.548684559
imagenetv2-top-images-format-val,mobilenet,0.747626187,0.352768586,0.241002441,4.317442211,0.001,0.000192666,25.42955103,718.4995756,0.906298851,0.095797795,0.034161962,1.137379138,-0.2567366,0.288386361
imagenetsketch,resnet18,0.202275451,0.385024454,0.268941755,2.872673844,0.001,0.000253441,21.79750868,559.5198859,1.149212821,0.128143971,0.039098907,0.937190747,-0.505784492,0.266668184
imagenetsketch,resnet34,0.234717337,0.453464936,0.283528677,2.465971584,0.001,0.000320912,23.20682576,616.9331453,1.055549059,0.141901953,0.051716654,0.985012493,-0.447728489,0.329655753
imagenetsketch,resnet101,0.269674402,0.506534472,0.29502834,2.205997811,0.001,0.000377984,24.26155872,661.8853055,0.965772027,0.149818972,0.063331564,1.042753824,-0.382256702,0.384327103
imagenetsketch,resnet152,0.285335325,0.531671077,0.29661005,2.076978523,0.001,0.000405097,24.77464747,682.8609205,0.925969933,0.154007853,0.068715967,1.054963518,-0.368010372,0.409204593
imagenetsketch,vgg16,0.175315871,0.400316723,0.265989025,2.709949689,0.001,0.000266134,22.08348441,570.1106155,1.140824075,0.133330838,0.040763855,0.940617027,-0.497813956,0.276829096
imagenet-r,resnet50,0.034066667,0.309465576,0.282170243,3.823194329,0.001,0.000184047,20.59756581,559.3325829,1.015592661,0.08336381,0.033354596,1.075558806,-0.324173442,0.260056078
imagenet-r,resnet18,0.028333333,0.51537679,0.294843511,1.974000885,0.001,0.000387769,24.13526645,656.9509863,0.973381177,0.15375172,0.064668966,1.04059219,-0.376406575,0.393736842
imagenet-r,resnet34,0.0302,0.553025138,0.29980787,1.819180006,0.001,0.000429301,24.89083843,689.4792241,0.906453636,0.15853473,0.073439772,1.079015528,-0.331773243,0.435688281
imagenet-r,resnet101,0.032033333,0.586135581,0.308945869,1.698096108,0.001,0.000470257,25.43933103,714.4200406,0.837956038,0.161376998,0.082548065,1.10791246,-0.291009908,0.476006851
